LINE, REF, QTY, EPCCS TYP, EPCCS PN, MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,RPUpi Shield connects a Pi Zero to RS-422,,,TOTAL,
,,,,,,5/9/17 16197^2 Preliminary,,,=SUM(J7:J100),
,,,,,,,,,,
1,C1 C2 C3 C4 C6 C7 C8 C9 C10 C13 C14,11,C-C,0603X7R50V104K,TDK@C1608X7R1H104K080AA,CAP CER 0.1UF 50V 10% X7R 0603,(1),0.0055,=C5*I5,ADPT
2,C5 C12,2,C-T,106A,AVX@TPSA106K010R0900,CAP TANT 10UF 10V 10% ESR .9OHM 1206,(1),0.3575,=C6*I6,ADPT
3,C11,1,C-C,0603NPO50V471J,MURATA@GRM1885C1H471JA01D,CAP CER 470PF 50V 5% NPO 0603,(1),0.0202,=C7*I7,ADPT
4,C15 C16,2,C-C,0603NPO50V150J,TDK@C1608C0G1H150J080AA,CAP CER 15PF 50V 5% NPO 0603,(1),0.0112,=C8*I8,RPUNO
5,D1,1,D-GP,T4,DIODES@1N4148W-7-F,DIODE SWITCH 100V 0.15A SOD123,(1),0.0601,=C9*I9,CC01
6,D2,1,D-LED,0805RD,OSRAM@LS R976-NR-1,LED RED 2V@20MA 0805,(1),0.1190,=C10*I10,ADPT
7,J1,1,J-HDR2.54mm,PPPC202LJBN,SULLINS@PPPC202LJBN-RC,CONN HEADER FEMALE RIGHT ANGLE 20X2POS .1IN,(1),2.466,=C11*I11,RPUPI
8,J2 J4,2,J-RJ45,RJ45J,WSW@A-2014-2-4-R,JACK MODULAR VERT PCB 8P8C UNSHIELD,(1),0.6164,=C12*I12,ADPT
9,J3 J5 J6,=3*10/36,J-HDR2.54mm,PBC36SAAN,SULLINS@PBC36SAAN,HEADER MALE BRKWAY .1IN AA 36POS 3 SETS OF 10,(3),2.091,=C13*I13,SHLD
10,J7,=8/36,J-HDR2.54mm,PBC36SAAN,SULLINS@PBC36SAAN,HEADER MALE BRKWAY .1IN AA 36POS 1 SET OF 8,(3),2.091,=C14*I14,SHLD
11,J8,1,J-HDR2.54mm,PPPC032LFBN,SULLINS@PPPC032LFBN-RC,CONN HEADER FEMALE 3X2POS .1IN,(1),.5968,=C15*I15,RPUPI
12,J9,=1*3/36,J-HDR2.54mm,PBC36DAAN,SULLINS@PBC36DAAN,CONN HEADER MALE BRKWAY .1IN AA 36X2POS 1 SET OF 3X2,(3),3.774,=C16*I16,IRRIGATE7
