LINE, REF, QTY, EPCCS TYP, EPCCS PN, MFG@PN, DESCRIPTION, NOTES, COST EA, LINE COST,BIN
,,,,,,RPUpi SBC,,,TOTAL,
,,,,,,9/20/18 (16197^4),,,=SUM(J5:J100),
,,,,,,,,,,
1,,1,,3708,ADAFRUIT@3708,SBC BCM2835 512MB 40PIN PI ZERO WH,(4),14.0,=C5*I5,RPUPI
2,,0,,814,ADAFRUIT@814,USB WIFI FOR PI,(1),11.95,=C6*I6,RPUPI
3,,0,,1099,ADAFRUIT@1099,USB OTG HOST CABLE,(1),2.50,=C7*I7,RPUPI
4,,0,,3446,ADAFRUIT@3446,SBC CASE PI ZERO,(1),5.95,=C8*I8,RPUPI
,,,,,,,,,,
,,,,,,NOTES,,,,
,,,,,,(1) parts may be needed with PI ZERO e.g. without WiFi,,,,
,,,,,,(4) ADAFRUIT@2885 without WiFi, ADAFRUIT@3400 with WiFi, ,,,,


